ACC;1,536.50;1482;1531.75;1470.65;1526.65;1487;1509.35;1477.75;1481.55;1477.85;1494;1475.6;1485;1463;1484;1458;1472.95
ADANIENT;146.40;143;146.9;140.55;145.75;144.85;146.3;142.05;143.05;140.05;144.9;140.05;143.95;137.8;141.75;136.35;140.9
ADANIPORTS;372.65;376.5;377;370.4;374.2;375;376.2;370.5;372.45;371.2;374.95;366.5;373.35;365.8;371.8;363.65;369.55
ADANIPOWER;65.05;63.6;65.15;62.2;64.6;64.45;65.2;63;63.8;60.6;64.5;60.55;63.75;58.45;60.7;58.3;60.15
AMARAJABAT;654.50;655;658.1;644.3;648.55;658;666;650.5;656.65;641.3;659.7;641.3;657.4;626;642.95;622.45;639.55
AMBUJACEM;202.30;196;202.15;193.9;201;197.5;200.2;195.1;195.75;195.75;198.35;195.75;197.35;195;197.8;193.65;195.5
APOLLOHOSP;1,442.40;1464.9;1477;1430.6;1458.15;1572;1579.7;1454;1458.75;1500;1512.7;1474.05;1497.2;1500;1512.45;1473.05;1494.1
APOLLOTYRE;180.40;178;181;175.1;180.6;179.1;181.6;176.65;177.1;177;180;176.2;179.1;175.6;177.9;174;176.7
ARVIND;54.30;52.25;54.4;51.15;53.6;52.2;53.45;51;52.25;51;53.6;50.75;51.9;50.8;51.5;50.05;50.8
ASHOKLEY;63.00;62.5;64.2;62.35;63.45;63.55;64.7;62.1;62.5;62;64.7;60.2;63.7;62.6;63.35;62;62.9
ASIANPAINT;1,511.70;1540;1553.15;1528;1548.2;1570;1570;1537.15;1540.3;1545;1565;1542.65;1561.45;1530.55;1545;1524.2;1540.6
AUROPHARMA;633.25;630.6;631;618;629.25;630.75;632;623.4;628.25;624;630.3;622;628.4;620;627.8;616.7;625.75
AXISBANK;667.20;663.55;675.4;657.05;674.25;680.1;681.65;660.55;662.9;674.55;683.5;671;681.7;667.65;675.8;662.75;671.55
BAJAJ-AUTO;2,868.70;2860;2889;2855;2878.2;2911;2911.4;2846.7;2852.2;2838.9;2920.45;2812;2908.4;2809;2838.55;2797;2817.8
BAJAJFINSV;7,332.65;7303.95;7399.75;7256;7388.75;7355;7357.9;7126.65;7291.95;7349.95;7419;7295;7354.2;7160;7357.4;7137.1;7323.95
BAJFINANCE;3,401.50;3389;3436;3372.5;3427.35;3402.5;3429;3370.6;3382.35;3445.35;3456;3385.3;3416.4;3374;3450;3352.15;3437.35
BALKRISIND;758.55;752;772.7;741.6;769.6;748;755.45;740;750.05;736.25;747.5;735.25;745.05;725;739.7;718;736.2
BANKBARODA;99.25;100.8;101.4;96.75;99.95;99.55;102.5;98.9;101.1;95.55;99.65;95.55;99.05;94;96.25;93.3;95.55
BANKINDIA;69.05;67.85;69.65;66;69.1;68.3;69.75;67.9;68.25;66.15;68.45;65.85;68.15;63.45;66.35;63.1;66.1
BATAINDIA;1,573.55;1558;1570;1548.7;1565.95;1575;1579.9;1543.75;1551.95;1558;1574.5;1555.1;1572.2;1544.55;1564.1;1539;1559.85
BEL;110.35;108.1;109.8;105.4;108.65;108.5;110.2;107.05;108;109.7;111.35;107.2;107.95;109.7;110.9;108.75;109.7
BERGEPAINT;363.25;366.5;370.4;363.5;368.35;370.8;372.3;366;366.75;368;370.85;363.45;369.9;364;369;362.4;367.95
